xzb youtube x直播
$c_start 央视$c_end
🇨🇳CCTV央视,#genre#
CETV4,http://112.15.230.48/PLTV/88888888/224/3221230334/index.m3u8

CHC动作电影,http://117.148.179.138/PLTV/88888888/224/3221231580/index.m3u8
CHC家庭影院,http://117.148.179.151/PLTV/88888888/224/3221231799/index.m3u8
CCTV4K 14M2160HDR,http://223.110.236.8/ott.js.chinamobile.com/PLTV/3/224/3221228242/index.m3u8
CCTV16-4K 25M2160,http://223.110.235.9/ott.js.chinamobile.com/PLTV/3/224/3221228168/index.m3u8
CCTV16-4K 34M2160HDR,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221228127/index.m3u8
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

$c_start 卫视$c_end
🛰️卫视高清,#genre#


凤凰中文,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
凤凰资讯,http://223.110.235.4/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰香港,http://223.110.235.11/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
凤凰中文,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰资讯,http://223.110.245.136/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=3804



湖南卫视HD,http://111.11.121.184:6610/030000001001/hdhunanstv/1.m3u8?channel-id=ystenlive
湖南卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-hunanstv/1.m3u8?channel-id=ystenlive
江苏卫视HD,http://111.11.121.184:6610/030000001001/hdjiangsustv/1.m3u8?channel-id=ystenlive
江苏卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-jiangsustv/1.m3u8?channel-id=ystenlive
浙江卫视HD,http://111.11.121.184:6610/030000001001/hdzhejiangstv/1.m3u8?channel-id=ystenlive
